dedo1,dedo2,dedo3,dedo4,dedo5,mano
4095.0,2897.13,4085.87,166.79,3795.26,4038.57
4095.0,2886.1,4087.7,145.03,3855.21,4049.85
4095.0,2782.48,4089.16,138.42,3903.17,4058.88
4095.0,3002.99,4090.33,175.74,3740.13,4066.11
4095.0,3089.59,4091.26,168.59,3811.11,3972.89
4095.0,3187.07,4092.01,149.67,3768.89,3954.71
4095.0,3251.46,4092.61,149.34,3834.11,3982.77
4095.0,3333.17,4093.09,165.07,3886.29,3912.61
4095.0,3338.93,4093.47,177.46,3928.03,3744.29
4095.0,3271.55,4093.77,181.77,3961.42,3814.43
4095.0,3200.64,4094.02,172.21,3988.14,3870.55
4095.0,3143.31,4094.22,189.37,3993.11,3915.44
4095.0,3001.05,4094.37,181.3,4013.49,3951.35
4095.0,3015.04,4094.5,180.64,4029.79,3980.08
4095.0,2786.03,4094.6,180.51,4042.83,3987.26
4095.0,2596.22,4094.68,183.41,4053.27,3957.61
4095.0,2540.18,4094.74,213.13,4061.61,3940.49
4095.0,2579.74,4094.79,224.9,4068.29,3971.39
4095.0,2696.59,4094.84,212.92,4073.63,3996.11
4095.0,2576.08,4094.87,209.74,4077.91,4015.89
4095.0,2451.46,4094.89,215.99,4081.32,4031.71
4095.0,2342.37,4094.92,332.79,4084.06,4044.37
4095.0,2234.49,4094.93,291.83,4086.25,4054.5
4095.0,2308.4,4094.95,396.27,4088.0,4062.6
4095.0,2268.12,4094.96,390.61,4089.4,4069.08
4095.0,2151.09,4069.17,352.29,4090.52,4074.26
4095.0,2078.27,4074.33,335.43,4091.42,4078.41
4095.0,2257.82,4078.47,303.35,4092.13,4081.73
4095.0,2360.06,4081.77,343.08,4092.71,4084.38
4095.0,2358.84,4084.42,314.86,3955.36,3888.11
4095.0,2706.08,4067.73,318.09,3983.29,3740.88
4095.0,2983.86,4073.19,339.87,3967.23,3728.31
4095.0,3206.09,4077.55,335.9,3992.79,3801.65
4095.0,3383.87,4081.04,358.72,3897.63,3860.32
4095.0,3526.1,4083.83,306.77,3886.3,3907.25
4095.0,3524.88,4086.07,288.02,3928.04,3944.8
4095.0,3358.1,4087.85,258.02,3961.43,3871.84
4095.0,3238.28,4089.28,265.61,3988.15,3916.47
4095.0,3102.43,4090.43,228.89,4009.52,3725.38
4095.0,2951.34,4091.34,224.71,4026.61,3508.3
4095.0,2858.27,4092.07,224.77,4040.29,3250.84
4095.0,2804.42,4092.66,237.82,4051.23,3076.87
4095.0,2709.73,4093.13,231.45,4059.99,2957.3
4095.0,2627.59,4093.5,204.56,4066.99,3022.84
4095.0,2555.47,4093.8,302.25,4072.59,3012.07
4095.0,2463.98,4094.04,278.4,4077.07,2979.66
4095.0,2389.78,4094.23,279.32,4080.66,3012.53
4095.0,2357.82,4094.39,261.86,4083.53,3052.62
4095.0,2360.86,4094.51,243.68,4085.82,3078.9
4095.0,2386.89,4094.61,258.75,4087.66,3123.32
4095.0,2335.11,4094.69,241.8,4089.13,3010.45
4095.0,2331.89,4094.75,248.44,4090.3,2914.96
4095.0,2361.31,4094.8,224.95,4091.24,2837.97
4095.0,2362.25,4094.84,227.56,4091.99,2717.98
4095.0,2320.6,4094.87,242.65,4092.59,2513.78
4095.0,2237.28,4094.9,244.72,4093.08,2313.23
4095.0,2078.42,3810.32,246.98,4093.46,2255.18
4095.0,1959.34,3867.25,258.38,4093.77,2133.34
4095.0,1931.27,3592.8,266.9,4094.01,1966.88
4095.0,1877.62,3517.44,276.52,4094.21,1828.9
4095.0,1854.29,3165.75,293.42,4094.37,1789.92
4095.0,1771.43,2913.8,307.13,4094.5,1783.54
4095.0,1754.15,2925.04,344.71,4094.6,1671.83
4095.0,1718.12,2751.83,377.97,4094.68,1644.46
4095.0,1719.89,2654.27,404.57,4094.74,1576.77
4095.0,1702.72,2308.61,444.86,4094.79,1566.62
4095.0,1701.97,2053.09,443.49,4094.83,1568.69
4095.0,1696.38,1860.27,469.39,4094.87,1587.35
4095.0,1686.3,1739.22,528.91,4094.89,1618.68
4095.0,1684.04,1741.37,554.53,4094.92,1591.15
4095.0,1715.63,1632.7,609.02,3919.13,1519.72
4095.0,1647.31,1610.16,610.22,3819.51,1676.37
4095.0,1612.05,1581.93,625.97,3711.4,1711.7
4095.0,1596.64,1518.14,614.78,3691.92,1857.16
4095.0,1564.91,1544.31,668.42,3761.94,1934.13
4095.0,1556.13,1564.05,706.34,3828.55,1875.1
4095.0,1607.9,1875.84,738.67,3852.64,1862.28
4095.0,1590.32,1783.87,753.74,3772.91,1762.83
4095.0,1553.26,1723.7,791.79,3571.53,1841.06
4095.0,1476.21,1695.76,832.43,3554.82,1746.25
4095.0,1507.16,1705.41,863.95,3662.86,1611.4
4095.0,1451.93,1744.73,873.36,3265.29,1645.72
4095.0,1380.95,1795.58,902.49,3033.63,1658.98
4095.0,1354.56,1748.66,936.79,2961.1,1638.18
4095.0,1300.65,1654.33,924.83,2801.28,1598.94
4095.0,1248.52,1792.47,909.66,2642.23,1525.56
4035.4,1136.41,1806.17,941.53,2555.58,1531.64
4037.52,1147.53,1844.74,986.83,2414.46,1565.72
3982.82,1124.22,1920.39,1014.66,2287.57,1583.17
3996.45,1111.98,2057.51,978.53,2170.66,1578.34
3842.36,1162.18,2049.01,1015.02,2318.33,1497.07
3892.89,1136.35,2002.01,1033.22,2483.86,1459.46
3808.11,1163.68,1982.21,1067.77,2294.09,1452.36
3635.09,1100.54,1902.56,1037.02,2162.47,1414.69
3447.07,1083.03,1820.65,1047.22,2239.98,1400.75
3310.66,944.03,1761.52,1003.17,2121.78,1357.4
3181.53,971.02,1775.42,1026.74,2241.03,1377.12
3065.62,1035.82,1843.33,1004.39,2379.82,1355.1
2913.1,1010.45,1823.47,1039.31,2285.66,1421.08
2894.28,1064.36,1808.77,1031.05,2265.52,1453.66
2768.02,1085.69,1827.62,1029.44,2147.42,1406.13
2675.22,917.15,1753.1,1051.95,2073.74,1390.5
2584.97,907.12,1855.08,1079.56,1923.19,1379.4
2594.78,1123.7,1887.66,1065.45,1814.15,1419.92
2596.22,952.36,1820.93,1029.36,1793.32,1311.94
2791.98,1117.09,1811.94,1069.49,1721.26,1298.15
3052.58,1330.07,1907.15,1052.19,1706.41,1316.92
3261.07,1145.86,2020.92,1062.55,1657.72,1298.74
3427.85,1053.48,1952.34,1081.04,1616.38,1271.59
3487.88,1086.99,1935.27,1078.03,1559.7,1261.47
3609.31,1011.39,1868.42,1116.43,1545.36,1242.78
3706.44,981.51,1933.13,1111.34,1604.89,1243.82
3784.16,926.01,2009.51,1125.87,1775.31,1210.46
